# entities
# W3C table at http://www.whatwg.org/specs/web-apps/current-work/multipage/named-character-references.html#named-character-references
# l=lower case Latin L=upper case Latin (alpha accents) g=lower case Greek G=upper case Greek c Cyrillic lower case C Cyrillic Upper case.
# a=arrow b=blank d=diacritical mark m=music s=symbol 4=html4 5=html5 p=proposed n=not an entity X=XHTML o=ordinary char, does not need entity.
# $=currency
# desc has no entities whereas notesdoes.
# normally sorted by entity, hex, desc, categories
## categories, hex, overstrike, alpha entity,              description,                                                                 notes
o4,    0x20,    ,       ,                                  "ordinary space",                                                            "&rarr; &larr;"
nm,    0x1d12f, ,       ,                                  "musical symbol natural down"
nm,    0x1d130, ,       ,                                  "musical symbol sharp up"
nm,    0x1d131, ,       ,                                  "musical symbol sharp down"
nm,    0x1d132, ,       ,                                  "musical symbol quarter tone sharp"
nm,    0x1d133, ,       ,                                  "musical symbol quarter tone flat"
nm,    0x1d134, ,       ,                                  "musical symbol common time"
nm,    0x1d135, ,       ,                                  "musical symbol cut time"
nm,    0x1d136, ,       ,                                  "musical symbol ottava alta"
nm,    0x1d137, ,       ,                                  "musical symbol ottava bassa"
nm,    0x1d138, ,       ,                                  "musical symbol quindicesima alta"
nm,    0x1d139, ,       ,                                  "musical symbol quindicesima bassa"
nm,    0x1d13a, ,       ,                                  "musical symbol multi rest"
nm,    0x1d13b, ,       ,                                  "musical symbol whole rest"
nm,    0x1d13c, ,       ,                                  "musical symbol half rest"
nm,    0x1d13d, ,       ,                                  "musical symbol quarter rest"
nm,    0x1d13e, ,       ,                                  "musical symbol eighth rest"
nm,    0x1d13f, ,       ,                                  "musical symbol sixteenth rest"
nm,    0x1d140, ,       ,                                  "musical symbol thirty-second rest"
nm,    0x1d141, ,       ,                                  "musical symbol sixty-fourth rest"
nm,    0x1d142, ,       ,                                  "musical symbol one hundred twenty-eighth rest"
nm,    0x1d143, ,       ,                                  "musical symbol x notehead"
nm,    0x1d144, ,       ,                                  "musical symbol plus notehead"
nm,    0x1d145, ,       ,                                  "musical symbol circle x notehead"
nm,    0x1d146, ,       ,                                  "musical symbol square notehead white"
nm,    0x1d147, ,       ,                                  "musical symbol square notehead black"
nm,    0x1d148, ,       ,                                  "musical symbol triangle notehead up white"
nm,    0x1d149, ,       ,                                  "musical symbol triangle notehead up black"
nm,    0x1d14a, ,       ,                                  "musical symbol triangle notehead left white"
nm,    0x1d14b, ,       ,                                  "musical symbol triangle notehead left black"
nm,    0x1d14c, ,       ,                                  "musical symbol triangle notehead right white"
nm,    0x1d14d, ,       ,                                  "musical symbol triangle notehead right black"
nm,    0x1d14e, ,       ,                                  "musical symbol triangle notehead down white"
nm,    0x1d14f, ,       ,                                  "musical symbol triangle notehead down black"
nm,    0x1d150, ,       ,                                  "musical symbol triangle notehead up right white"
nm,    0x1d151, ,       ,                                  "musical symbol triangle notehead up right black"
nm,    0x1d152, ,       ,                                  "musical symbol moon notehead white"
nm,    0x1d153, ,       ,                                  "musical symbol moon notehead black"
nm,    0x1d154, ,       ,                                  "musical symbol triangle-round notehead down white"
nm,    0x1d155, ,       ,                                  "musical symbol triangle-round notehead down black"
nm,    0x1d156, ,       ,                                  "musical symbol parenthesis notehead"
nm,    0x1d157, ,       ,                                  "musical symbol void notehead"
nm,    0x1d158, ,       ,                                  "musical symbol notehead black"
nm,    0x1d159, ,       ,                                  "musical symbol null notehead"
nm,    0x1d15a, ,       ,                                  "musical symbol cluster notehead white"
nm,    0x1d15b, ,       ,                                  "musical symbol cluster notehead black"
nm,    0x1d15c, ,       ,                                  "musical symbol breve"
nm,    0x1d15d, ,       ,                                  "musical symbol whole note"
nm,    0x1d15e, ,       ,                                  "musical symbol half note"
nm,    0x1d15f, ,       ,                                  "musical symbol quarter note"
nm,    0x1d160, ,       ,                                  "musical symbol eighth note"
nm,    0x1d161, ,       ,                                  "musical symbol sixteenth note"
nm,    0x1d162, ,       ,                                  "musical symbol thirty-second note"
nm,    0x1d163, ,       ,                                  "musical symbol sixty-fourth note"
nm,    0x1d164, ,       ,                                  "musical symbol one hundred twenty-eighth note"
nm,    0x1d165, ,       ,                                  "musical symbol combining stem"
nm,    0x1d166, ,       ,                                  "musical symbol combining sprechgesang stem"
nm,    0x1d167, ,       ,                                  "musical symbol combining tremolo-1"
nm,    0x1d168, ,       ,                                  "musical symbol combining tremolo-2"
nm,    0x1d169, ,       ,                                  "musical symbol combining tremolo-3"
nm,    0x1d16a, ,       ,                                  "musical symbol fingered tremolo-1"
nm,    0x1d16b, ,       ,                                  "musical symbol fingered tremolo-2"
nm,    0x1d16c, ,       ,                                  "musical symbol fingered tremolo-3"
nm,    0x1d16d, ,       ,                                  "musical symbol combining augmentation dot"
nm,    0x1d16e, ,       ,                                  "musical symbol combining flag-1"
nm,    0x1d16f, ,       ,                                  "musical symbol combining flag-2"
nm,    0x1d170, ,       ,                                  "musical symbol combining flag-3"
nm,    0x1d171, ,       ,                                  "musical symbol combining flag-4"
nm,    0x1d172, ,       ,                                  "musical symbol combining flag-5"
nm,    0x1d173, ,       ,                                  "musical symbol begin beam"
nm,    0x1d174, ,       ,                                  "musical symbol end beam"
nm,    0x1d175, ,       ,                                  "musical symbol begin tie"
nm,    0x1d176, ,       ,                                  "musical symbol end tie"
nm,    0x1d177, ,       ,                                  "musical symbol begin slur"
